Car Series,Car Name,19.04.2025,20.04.2025,21.04.2025,22.04.2025,23.04.2025,24.04.2025,25.04.2025,26.04.2025,27.04.2025,28.04.2025,29.04.2025,30.04.2025,01.05.2025,02.05.2025,03.05.2025,04.05.2025,05.05.2025,06.05.2025,07.05.2025,08.05.2025,09.05.2025,10.05.2025,11.05.2025
UK Elite 64,Elite 64 Series Land Rover Defender 90 Pickup – Mattel Creations,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK Elite 64,Error: 429 Client Error: Too Many Requests for url: https://uk.creations.mattel.com/products/elite-64-series-21-audi-rs-7-sportback-hgw11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Error fetching data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UK Elite 64,Error: 429 Client Error: Too Many Requests for url: https://uk.creations.mattel.com/products/elite-64-series-land-rover-defender-90-pickup-hgw12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Error fetching data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UK Elite 64,Error: 429 Client Error: Too Many Requests for url: https://uk.creations.mattel.com/products/hot-wheels-elite-64-aston-martin-valkyrie-hwr91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Error fetching data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UK Elite 64,Error: 429 Client Error: Too Many Requests for url: https://uk.creations.mattel.com/products/hot-wheels-elite-64-mclaren-m6gt-hwg05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Error fetching data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UK Elite 64,Error: 429 Client Error: Too Many Requests for url: https://uk.creations.mattel.com/products/hot-wheels-elite-modified-69-ford-mustang-hgw13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Error fetching data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UK Elite 64,Error: 429 Client Error: Too Many Requests for url: https://uk.creations.mattel.com/products/hot-wheels-elite64-porsche-911-gt2-evo-993-hwr94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Error fetching data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UK Elite 64,Error: 429 Client Error: Too Many Requests for url: https://uk.creations.mattel.com/products/hot-wheels-elite64-scania-770-s-tractor-trailer-hwr95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Error fetching data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UK Elite 64,Hot Wheels Elite 64 Aston Martin Valkyrie,255,253,252,251,248,247,248,N/A,242,242,241,239,233,229,227,227,227,223,221,222,221,221,220
UK Elite 64,Hot Wheels Elite 64 McLaren M6GT,888,888,888,889,888,887,889,N/A,882,882,882,881,876,875,875,875,875,875,875,875,872,872,872
UK Elite 64,Hot Wheels Elite 64 Porsche 911 GT2 EVO 993,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK Elite 64,Hot Wheels Elite 64 Scania 770 S,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,N/A,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
UK Elite 64,Hot Wheels Elite 64 Series '21 Audi RS 7 Sportback,56,55,54,56,56,55,54,N/A,45,45,44,43,43,138,138,138,138,137,136,133,133,132,132
UK Elite 64,Hot Wheels Elite 64 Series Modified ’69 Ford Mustang,52,51,51,52,50,50,52,N/A,26,26,25,24,20,19,19,19,19,19,18,16,15,15,14
